match_id,character,opponent_character,result,kos,falls,sds,match_time,damage_given,damage_taken,gsp,match_time_seconds,damage_differential,damage_ratio,ko_differential,damage_per_minute,damage_taken_per_minute,gsp_change,match_intensity
26,captain falcon,captain falcon,1,3,2,0,6:02,379,476,15127707,362,-97,0.7962184873949579,1,62.81767955801105,78.89502762430939,0.0,0.013812154696132596
27,captain falcon,pichu,1,3,2,0,4:22,182,342,15312729,262,-160,0.5321637426900585,1,41.6793893129771,78.3206106870229,185022.0,0.019083969465648856
28,captain falcon,joker,1,3,2,0,5:24,403,327,15459274,324,76,1.2324159021406729,1,74.62962962962962,60.55555555555555,146545.0,0.015432098765432098
29,captain falcon,cloud,0,2,3,0,5:26,296,440,15312729,326,-144,0.6727272727272727,-1,54.47852760736196,80.98159509202453,-146545.0,0.015337423312883436
30,captain falcon,mario,1,3,2,0,4:16,191,313,15474447,256,-122,0.610223642172524,1,44.765625,73.359375,161718.0,0.01953125
31,captain falcon,ganondorf,0,2,3,0,4:51,241,379,15329921,291,-138,0.6358839050131926,-1,49.69072164948454,78.14432989690722,-144526.0,0.01718213058419244
32,captain falcon,piranha plant,1,3,2,0,4:40,339,245,15489404,280,94,1.383673469387755,1,72.64285714285714,52.5,159483.0,0.017857142857142856
33,captain falcon,mr game and watch,1,3,1,0,4:43,364,278,15614635,283,86,1.3093525179856116,2,77.17314487632508,58.93992932862191,125231.0,0.014134275618374558
34,captain falcon,rob,1,3,0,0,2:51,170,149,15735157,171,21,1.1409395973154361,3,59.64912280701754,52.280701754385966,120522.0,0.017543859649122806
35,captain falcon,cloud,1,3,0,0,2:31,129,125,15837923,151,4,1.032,3,51.258278145695364,49.66887417218543,102766.0,0.019867549668874173
36,captain falcon,duck hunt,0,1,3,0,4:15,183,367,15735157,255,-184,0.4986376021798365,-2,43.05882352941177,86.3529411764706,-102766.0,0.01568627450980392
37,captain falcon,donkey kong,0,2,3,0,4:27,275,264,15601532,267,11,1.0416666666666667,-1,61.79775280898876,59.32584269662921,-133625.0,0.018726591760299626
38,captain falcon,dr mario,0,2,3,0,5:08,239,438,15474447,308,-199,0.545662100456621,-1,46.55844155844156,85.32467532467531,-127085.0,0.016233766233766232
39,captain falcon,samus,1,3,2,0,5:24,391,339,15601532,324,52,1.1533923303834808,1,72.4074074074074,62.77777777777777,127085.0,0.015432098765432098
40,captain falcon,link,1,3,1,0,4:08,229,298,15713535,248,-69,0.7684563758389261,2,55.40322580645161,72.09677419354838,112003.0,0.016129032258064516
41,captain falcon,snake,1,3,2,0,5:07,296,376,15712535,307,-80,0.7872340425531915,1,57.850162866449516,73.48534201954398,-1000.0,0.016286644951140065
42,captain falcon,sheik,0,0,3,0,3:39,111,369,15601532,219,-258,0.3008130081300813,-3,30.410958904109588,101.0958904109589,-111003.0,0.0136986301369863
43,captain falcon,hero,0,2,3,0,5:53,355,471,15474447,353,-116,0.7537154989384289,-1,60.3399433427762,80.05665722379602,-127085.0,0.014164305949008499
44,captain falcon,richter,0,2,3,0,5:09,251,430,15346882,309,-179,0.5837209302325581,-1,48.7378640776699,83.49514563106796,-127565.0,0.016181229773462782
45,captain falcon,joker,0,2,3,0,4:09,190,290,15166656,249,-100,0.6551724137931034,-1,45.783132530120476,69.87951807228914,-180226.0,0.020080321285140562
