match_id,character,opponent_character,result,kos,falls,sds,match_time,damage_given,damage_taken,gsp,match_time_seconds
84,toon link,ike,1,2,1,0,3:20,183,235,12510743,200
85,toon link,jigglypuff,1,3,2,0,5:03,347,313,13043711,303
86,toon link,joker,0,2,3,0,4:53,228,399,12467989,293
87,toon link,lucina,1,3,2,0,4:56,336,300,13004266,296
88,toon link,fox,0,1,3,0,3:53,215,260,12467989,233
89,toon link,diddy kong,0,1,3,0,3:08,161,165,11936815,188
90,toon link,marth,0,1,3,0,4:02,218,288,11375336,242
91,toon link,lucas,1,3,2,0,5:26,374,363,11936815,326
92,toon link,falco,1,3,1,0,4:10,253,279,12467989,250
93,toon link,samus,1,3,1,0,4:01,294,211,12924584,241
94,toon link,ridley,0,1,3,0,4:11,258,277,12467989,251
95,toon link,hero,0,2,3,0,4:41,276,312,12027577,281
96,toon link,king k rool,1,3,2,0,4:57,449,190,12467989,297
97,toon link,ridley,1,3,2,0,4:59,369,277,12843855,299
98,toon link,zero suit samus,1,3,1,0,3:43,215,229,13198810,223
99,toon link,ike,1,3,2,0,5:11,398,288,13567469,311
100,toon link,ike,1,3,1,0,4:48,418,243,13602712,288
101,toon link,byleth,1,3,1,0,5:08,434,294,13875187,308
102,toon link,hero,1,3,0,0,3:03,242,117,14159800,183
103,pit,mr game and watch,1,3,0,0,3:14,365,160,14967618,194
104,pit,steve,0,2,3,0,4:12,305,418,14808730,252
105,pit,link,1,3,1,0,4:33,362,309,15010646,273
106,pit,captain falcon,1,3,2,0,4:17,389,379,15210529,257
107,pit,ken,0,2,3,0,3:19,280,455,15010646,199
108,pit,bayonetta,1,3,2,0,3:53,384,454,15210529,233
109,pit,little mac,1,3,2,0,2:22,273,275,15369593,142
110,pit,captain falcon,0,1,3,0,1:52,195,298,15210529,112
111,pit,fox,1,3,1,0,2:18,299,210,15418447,138
112,pit,steve,0,2,3,0,2:43,261,439,15247547,163
113,pit,lucina,1,3,1,0,3:27,292,209,15418447,207
114,pit,byleth,1,3,2,0,5:33,322,465,15567093,333
115,pit,incineroar,0,2,3,0,3:32,373,381,15402387,212
116,pit,rob,1,3,2,0,4:25,391,360,15567093,265
117,pit,kirby,1,3,1,0,2:30,299,238,15695312,150
118,pit,king dedede,1,3,2,0,6:00,403,375,15794811,360
119,pit,lucas,0,1,3,0,2:49,215,349,15671212,169
120,pit,link,0,2,3,0,3:08,314,377,15524730,188
121,pit,pit,0,2,3,0,3:34,254,422,15386103,214
122,pit,diddy kong,0,2,3,0,3:26,293,450,15229153,206
123,pit,incineroar,1,3,2,0,3:08,295,353,15449900,188
124,pit,joker,0,2,3,0,5:54,317,507,15283584,354
125,pit,mr game and watch,0,2,3,0,2:36,308,363,15301253,156
126,pit,incineroar,1,3,1,0,0:58,177,149,15465297,58
127,pit,kirby,1,3,2,0,3:36,357,366,15607618,216
128,banjo & kazooie,dr mario,1,3,2,0,3:20,361,336,15210529,200
129,banjo & kazooie,dark samus,0,2,3,0,3:18,385,400,15031773,198
130,banjo & kazooie,dark pit,1,3,2,0,3:20,408,320,15229153,200
131,banjo & kazooie,little mac,1,3,0,0,1:26,259,97,15386103,86
132,banjo & kazooie,ridley,1,3,2,0,2:18,352,236,15539059,138
133,banjo & kazooie,mewtwo,0,2,3,0,2:55,305,295,15386103,175
134,banjo & kazooie,yoshi,1,3,0,0,0:58,205,56,15567093,58
135,banjo & kazooie,king dedede,1,3,2,0,3:50,431,358,15683356,230
136,banjo & kazooie,mii brawler,1,3,2,0,2:37,373,300,15773926,157
137,banjo & kazooie,diddy kong,1,3,2,0,2:16,212,205,15871779,136
138,banjo & kazooie,zero suit samus,1,3,2,0,3:24,412,258,15938951,204
139,banjo & kazooie,bayonetta,0,2,3,0,3:04,362,455,15898065,184
140,banjo & kazooie,zelda,0,2,3,0,3:32,267,372,15805001,212
141,banjo & kazooie,wii fit trainer,0,1,3,0,2:12,169,328,15683356,132
142,banjo & kazooie,wii fit trainer,0,1,3,0,2:51,216,410,15539059,171
143,banjo & kazooie,fox,1,3,2,0,3:53,281,309,15658879,233
144,banjo & kazooie,link,1,3,2,0,4:30,334,465,15773926,270
145,banjo & kazooie,captain falcon,1,3,2,0,3:44,403,312,15862713,224
146,banjo & kazooie,mii gunner,1,3,2,0,4:04,394,394,15938951,244
147,banjo & kazooie,sephiroth,0,0,3,0,1:47,127,254,15871779,107
148,banjo & kazooie,luigi,1,3,2,0,2:33,275,288,15938951,153
149,banjo & kazooie,palutena,0,1,2,0,3:00,191,169,15834579,180
150,banjo & kazooie,cloud,0,2,3,0,3:18,313,417,15730077,198
151,banjo & kazooie,pyra and mythra,1,3,2,0,5:03,408,365,15824883,303
152,banjo & kazooie,ness,1,3,2,0,1:09,287,236,15906530,69
